trait	gene_id	lead_SNP	lead_SNP_class	final_call	call_source	evidence_tier	sp_vs_interpro_agreement	sp_name	sp_accession	sp_organism	sp_pident	sp_qcovhsp	sp_evalue	sp_status	interpro_status	n_interpro	interpro_ids	interpro_descs	n_pfam	pfam_ids	pfam_descs	n_go	go_terms	nr_title	nr_accession	nr_pident	nr_qcovs	nr_evalue	nr_status	legacy_annotation
fiber	HORVU.MOREX.r3.7HG0729100	7H:573606306	significant	NifU-like protein 3, chloroplastic	swissprot	HIGH	concordant	NifU-like protein 3, chloroplastic	Q84RQ7	Arabidopsis thaliana	73.3	67.3	2.81e-81	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR001075;IPR034904	IPR034904:Fe-S cluster assembly domain superfamily; IPR001075:NIF system FeS cluster assembly, NifU, C-terminal	1	PF01106	PF01106:NifU-like domain	5	GO:0005506;GO:0005739;GO:0009570;GO:0016226;GO:0051536	NA	NA	NA	NA	NA	NA	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
fiber	HORVU.MOREX.r3.7HG0729130	7H:573606306	significant	Ribonuclease H-like superfamily; HAT, C-terminal dimerisation domain; AtLOH3-like	interpro	MEDIUM	single_source	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	INTERPRO_MATCH	3	IPR008906;IPR012337;IPR055298	IPR012337:Ribonuclease H-like superfamily; IPR008906:HAT, C-terminal dimerisation domain; IPR055298:AtLOH3-like	1	PF05699	PF05699:hAT family C-terminal dimerisation region	1	GO:0046983	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
starch	HORVU.MOREX.r3.3HG0301710	3H:546433616	marginal	Probable anion transporter 3, chloroplastic	swissprot	HIGH	concordant	Probable anion transporter 3, chloroplastic	Q8W0H5	Oryza sativa subsp. japonica	84.2	99.8	3.63e-305	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR011701;IPR020846;IPR036259;IPR044777;IPR050382	IPR050382:Major Facilitator Superfamily Sodium/Anion Cotransporter; IPR036259:MFS transporter superfamily; IPR044777:Solute carrier family 17 member 9-like; IPR020846:Major facilitator superfamily domain; IPR011701:Major facilitator superfamily	1	PF07690	PF07690:Major Facilitator Superfamily	4	GO:0005315;GO:0009536;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	Phosphate transporter 43 PHT / Anion transporter | Gene role: Phosphate/anion transporter involved in phosphate movement and general cellular nutrient homeostasis.
starch	HORVU.MOREX.r3.3HG0301720	3H:546433616	marginal	Calmodulin-binding receptor-like cytoplasmic kinase 1	swissprot	HIGH	concordant	Calmodulin-binding receptor-like cytoplasmic kinase 1	Q9FIL7	Arabidopsis thaliana	57.7	70	2.25e-121	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000719;IPR001245;IPR008271;IPR011009;IPR017441	IPR000719:Protein kinase domain; IPR008271:Serine/threonine-protein kinase, active site; IPR017441:Protein kinase, ATP binding site; IPR011009:Protein kinase-like domain superfamily; IPR001245:Serine-threonine/tyrosine-protein kinase, catalytic domain	1	PF07714	PF07714:Protein tyrosine and serine/threonine kinase	3	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	NA	NA	NA	Gene role: Calmodulin-binding cytoplasmic kinase involved in calcium-dependent signaling and signal transduction.
starch	HORVU.MOREX.r3.3HG0301750	3H:546433616	marginal	Alpha-glucan phosphorylase, H isozyme	swissprot	HIGH	concordant	Alpha-glucan phosphorylase, H isozyme	Q9LKJ3	Triticum aestivum	97.2	100	0	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	3	IPR000811;IPR011833;IPR035090	IPR035090:Phosphorylase pyridoxal-phosphate attachment site; IPR000811:Glycosyl transferase, family 35; IPR011833:Glycogen/starch/alpha-glucan phosphorylase	1	PF00343	PF00343:Carbohydrate phosphorylase	6	GO:0004645;GO:0005737;GO:0005975;GO:0005980;GO:0008184;GO:0030170	NA	NA	NA	NA	NA	NA	alpha-glucan phosphorylase | Gene role: Alpha-glucan phosphorylase catalyzes reversible phosphorolysis of alpha-glucans, linking starch breakdown and glucan metabolism to glucose-1-phosphate production.
starch	HORVU.MOREX.r3.6HG0619820	6H:525776080	marginal	Kinesin-like protein KIN-7D, chloroplastic	swissprot	HIGH	concordant	Kinesin-like protein KIN-7D, chloroplastic	Q6YZ52	Oryza sativa subsp. japonica	82.8	100	0	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR001752;IPR019821;IPR027417;IPR027640;IPR036961	IPR001752:Kinesin motor domain; IPR027417:P-loop containing nucleoside triphosphate hydrolase; IPR027640:Kinesin-like protein; IPR036961:Kinesin motor domain superfamily; IPR019821:Kinesin motor domain, conserved site	1	PF00225	PF00225:Kinesin motor domain	4	GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
starch	HORVU.MOREX.r3.7HG0729020	7H:573606460	marginal	Probable high-affinity nitrate transporter 2.4	swissprot	HIGH	concordant	Probable high-affinity nitrate transporter 2.4	A2ZU80	Oryza sativa subsp. japonica	80.5	99.6	7.62e-257	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	4	IPR005829;IPR011701;IPR036259;IPR044772	IPR005829:Sugar transporter, conserved site; IPR011701:Major facilitator superfamily; IPR044772:Nitrate transporter; IPR036259:MFS transporter superfamily	1	PF07690	PF07690:Major Facilitator Superfamily	4	GO:0015112;GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
starch	HORVU.MOREX.r3.7HG0729030	7H:573606460	marginal	Acetylajmalan esterase	swissprot	HIGH	concordant	Acetylajmalan esterase	Q3MKY2	Rauvolfia serpentina	45.3	87.2	7.35e-95	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	3	IPR001087;IPR035669;IPR036514	IPR001087:GDSL lipase/esterase; IPR035669:GDSL lipase/esterase-like, plant; IPR036514:SGNH hydrolase superfamily	1	PF00657	PF00657:GDSL-like Lipase/Acylhydrolase	1	GO:0016788	NA	NA	NA	NA	NA	NA	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.
starch	HORVU.MOREX.r3.7HG0729090	7H:573606460	marginal	Pentatricopeptide repeat-containing protein At3g61360	swissprot	MEDIUM	concordant	Pentatricopeptide repeat-containing protein At3g61360	Q9M2C8	Arabidopsis thaliana	33.3	86.1	2.23e-44	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	3	IPR002885;IPR011990;IPR051114	IPR011990:Tetratricopeptide-like helical domain superfamily; IPR002885:Pentatricopeptide repeat; IPR051114:Mitochondrial RNA Processing CCM1	2	PF01535;PF13041	PF01535:PPR repeat; PF13041:PPR repeat family	5	GO:0003729;GO:0005515;GO:0005739;GO:0006396;GO:0007005	NA	NA	NA	NA	NA	NA	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
starch	HORVU.MOREX.r3.7HG0729100	7H:573606460	marginal	NifU-like protein 3, chloroplastic	swissprot	HIGH	concordant	NifU-like protein 3, chloroplastic	Q84RQ7	Arabidopsis thaliana	73.3	67.3	2.81e-81	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR001075;IPR034904	IPR034904:Fe-S cluster assembly domain superfamily; IPR001075:NIF system FeS cluster assembly, NifU, C-terminal	1	PF01106	PF01106:NifU-like domain	5	GO:0005506;GO:0005739;GO:0009570;GO:0016226;GO:0051536	NA	NA	NA	NA	NA	NA	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
starch	HORVU.MOREX.r3.7HG0729110	7H:573606460	marginal	ELF3-like, helical domain	interpro	MEDIUM	single_source	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	INTERPRO_MATCH	1	IPR060412	IPR060412:ELF3-like, helical domain	1	PF27565	PF27565:ELF3 helical domain	0		NA	NA	NA	NA	NA	NA	Predicted protein
